Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,69.42,67.68,60.67,74.76,63.52
Total Revenue,69.42,67.68,60.67,74.76,63.52
"Selling/General/Admin. Expenses, Total",21.00,16.60,15.30,17.47,14.58
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-5.48,177.63,33.54,24.79,9.88
"Other Operating Expenses, Total",57.40,95.84,14.74,30.34,20.76
Total Operating Expense,166.26,369.62,126.93,131.44,100.90
Operating Income,-96.84,-301.95,-66.26,-56.69,-37.38
"Interest Inc.(Exp.),Net-Non-Op., Total",-21.32,-38.58,-33.87,-25.62,-20.17
"Other, Net",0,0,-0.00,-0.00,-0.00
Net Income Before Taxes,-118.16,-340.52,-100.13,-82.31,-57.55
Provision for Income Taxes,3.52,2.75,1.11,1.05,0.89
Net Income After Taxes,-121.68,-343.27,-101.24,-83.36,-58.44
Net Income Before Extra. Items,-118.63,-332.59,-99.40,-84.69,-58.65
Net Income,-118.63,-332.59,-99.40,-84.69,-58.65
Income Available to Com Excl ExtraOrd,-118.63,-332.59,-99.40,-84.69,-58.65
Income Available to Com Incl ExtraOrd,-118.63,-332.59,-99.40,-84.69,-58.65
Diluted Net Income,-118.63,-332.59,-99.40,-84.69,-58.65
Diluted Weighted Average Shares,715.04,713.51,713.60,714.12,715.12
Diluted EPS Excluding ExtraOrd Items,-0.17,-0.47,-0.14,-0.12,-0.08
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.14,-0.29,-0.11,-0.08,-0.06
