Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,Interim Report,ARS,ARS
Cash,1184.88,1035.85,1262.49,1724.15,2175.06
Short Term Investments,3038.52,1924.05,2045.24,2248.27,3508.75
Cash and Short Term Investments,4223.40,3378.76,3695.72,4361.41,6214.91
"Accounts Receivable - Trade, Net",3263.70,3129.44,3346.82,3171.52,4275.37
"Total Receivables, Net",5045.84,5184.96,5436.33,5175.46,6180.51
Prepaid Expenses,317.89,313.90,420.62,582.49,644.48
"Other Current Assets, Total",2048.76,4762.08,7990.83,6850.53,4407.07
Total Current Assets,19435.62,22579.40,26290.40,25583.70,27923.57
"Property/Plant/Equipment, Total - Gross",13419.31,14765.92,15696.80,18150.06,20923.24
"Accumulated Depreciation, Total",-4395.49,-5287.80,-5675.08,-6204.58,-7483.39
"Property/Plant/Equipment, Total - Net",9023.82,9478.12,10021.72,11945.48,13439.85
"Goodwill, Net",3260.44,3277.19,3359.10,3791.52,3868.04
"Intangibles, Net",1105.30,1107.72,1123.35,1571.37,1577.66
Long Term Investments,3621.51,4004.56,4310.13,3703.02,3753.76
Total Assets,37032.43,40932.57,45712.93,47045.14,51019.98
Accounts Payable,1481.54,1077.80,1408.05,1673.68,1588.78
Accrued Expenses,750.74,827.30,917.88,953.26,1119.32
Notes Payable/Short Term Debt,10035.90,13573.79,16525.90,15752.94,15023.16
"Other Current liabilities, Total",1801.85,1651.71,2693.15,2034.56,2929.86
Total Current Liabilities,16723.15,19687.13,22840.30,22988.91,22833.16
Total Long Term Debt,4331.24,3696.22,5523.37,5590.86,6219.25
Total Debt,17020.26,19826.54,23344.60,23918.26,23414.45
Deferred Income Tax,322.44,312.71,339.39,291.87,298.82
"Other Liabilities, Total",276.63,251.41,234.85,297.39,285.45
Total Liabilities,22597.89,24968.98,29667.16,30282.64,32137.62
"Common Stock, Total",8459.00,8459.00,8459.00,8459.00,8459.00
Retained Earnings (Accumulated Deficit),7577.97,7009.46,7691.99,8519.22,10113.91
Treasury Stock - Common,-175.31,-156.21,-153.32,-122.58,-222.04
Unrealised Gain (Loss),81.45,109.95,141.86,118.21,30.01
"Other Equity, Total",-1508.58,541.39,-93.75,-211.34,501.48
Total Equity,14434.53,15963.59,16045.78,16762.51,18882.36
Total Liabilities & Shareholders' Equity,37032.43,40932.57,45712.93,47045.14,51019.98
Total Common Shares Outstanding,6316.84,6325.69,6326.62,6340.87,6316.23
"Tangible Book Value per Share, Common Eq",1.59,1.83,1.83,1.80,2.13
