Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,60.75,60.73,83.83,74.80,78.08
Total Revenue,60.75,60.73,83.83,74.80,78.08
"Selling/General/Admin. Expenses, Total",14.68,13.66,15.77,21.80,13.43
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-4.18,-0.02,-0.00,-0.01,-0.83
"Other Operating Expenses, Total",-0.50,-1.25,-0.68,-0.44,-1.06
Total Operating Expense,56.87,58.52,84.97,86.15,76.01
Operating Income,3.88,2.21,-1.13,-11.35,2.08
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.14,-0.27,-0.59,-0.55,-0.25
"Other, Net",0,0,0,0,0
Net Income Before Taxes,3.74,1.94,-1.72,-11.90,1.82
Provision for Income Taxes,0.35,0.71,0.09,-0.42,0.54
Net Income After Taxes,3.39,1.23,-1.81,-11.48,1.29
Net Income Before Extra. Items,2.57,0.61,-1.44,-8.83,1.18
Net Income,2.57,0.61,-1.44,-8.83,1.18
Income Available to Com Excl ExtraOrd,2.57,0.61,-1.44,-8.83,1.18
Income Available to Com Incl ExtraOrd,2.57,0.61,-1.44,-8.83,1.18
Diluted Net Income,2.57,0.61,-1.44,-8.83,1.18
Diluted Weighted Average Shares,46.84,55.82,86.07,93.83,93.83
Diluted EPS Excluding ExtraOrd Items,0.05,0.01,-0.02,-0.09,0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.00,0.01,-0.02,-0.05,0.01
