Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,3.74,1.94,-1.72,-11.90,1.82
Depreciation/Depletion,0.68,0.93,0.75,0.97,1.07
Non-Cash Items,-2.84,-0.71,1.05,8.78,0.23
Cash Taxes Paid,0.79,0.32,0.95,0.37,0.60
Changes in Working Capital,-4.71,-6.35,-8.76,-0.98,-3.75
Cash from Operating Activities,-1.79,-2.45,-6.93,-1.46,-0.47
Capital Expenditures,-2.17,-1.20,-0.45,-2.03,-0.63
"Other Investing Cash Flow Items, Total",1.20,0.91,0.09,-1.61,0.11
Cash from Investing Activities,-0.97,-0.30,-0.36,-3.64,-0.52
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,3.00,16.15,0.00,0
Cash from Financing Activities,0.44,12.72,14.77,2.83,-6.48
Foreign Exchange Effects,0.10,-0.09,-0.19,-0.23,0.23
Net Change in Cash,-2.22,9.89,7.29,-2.49,-7.24
