Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-11.54,-4.77,24.97,-16.71,-28.43
Depreciation/Depletion,1.05,1.42,1.54,1.79,1.61
Non-Cash Items,3.81,1.69,-28.96,12.91,24.56
Cash Taxes Paid,2.21,0.00,0.07,0.00,0.14
Changes in Working Capital,-16.82,-0.15,6.14,-0.47,3.69
Cash from Operating Activities,-23.49,-1.81,3.68,-2.47,1.42
Capital Expenditures,-0.10,-0.05,-0.36,-0.17,-0.12
"Other Investing Cash Flow Items, Total",5.43,1.48,0.00,0.88,0.00
Cash from Investing Activities,5.33,1.43,-0.36,0.71,-0.12
Total Cash Dividends Paid,0.00,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-135.84,-2.50,-0.78,-0.70,-0.62
Foreign Exchange Effects,2.23,-0.40,0.10,-0.08,-0.02
Net Change in Cash,-151.77,-3.29,2.64,-2.53,0.66
