Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Revenue,22.74,24.39,28.40,25.49,13.63
Total Revenue,22.74,24.39,28.40,25.49,13.63
"Selling/General/Admin. Expenses, Total",7.26,8.12,11.34,14.13,9.36
Depreciation/Amortisation,0.08,0.25,0.37,1.22,5.62
Unusual Expense (Income),0,0,5.43,1.03,1.87
"Other Operating Expenses, Total",1.13,0.79,4.14,5.22,1.49
Total Operating Expense,13.33,15.08,30.24,30.21,23.06
Operating Income,9.41,9.32,-1.84,-4.72,-9.43
"Interest Inc.(Exp.),Net-Non-Op., Total",0.00,-0.00,-0.07,-0.03,-0.39
"Other, Net",0,0,0,0,0
Net Income Before Taxes,9.41,9.32,-1.91,-4.76,-9.82
Provision for Income Taxes,1.59,1.37,0.53,0.10,0.02
Net Income After Taxes,7.82,7.95,-2.44,-4.85,-9.84
Net Income Before Extra. Items,7.82,7.72,-2.32,-4.85,-9.84
Net Income,7.82,7.72,-2.32,-4.85,-9.84
Income Available to Com Excl ExtraOrd,7.82,7.72,-2.32,-4.85,-9.84
Income Available to Com Incl ExtraOrd,7.82,7.72,-2.32,-4.85,-9.84
Diluted Net Income,7.82,7.72,-2.32,-4.85,-9.84
Diluted Weighted Average Shares,462.39,462.39,462.39,462.39,462.39
Diluted EPS Excluding ExtraOrd Items,0.02,0.02,-0.01,-0.01,-0.02
DPS - Common Stock Primary Issue,0,0,0.00,0,0
Diluted Normalised EPS,0.02,0.02,0.00,-0.01,-0.02
