Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,18 Months,12 Months,12 Months
Source,ARS,PRESS,ARS,ARS,ARS
Revenue,86.45,68.87,94.15,44.97,31.37
Total Revenue,86.45,68.87,94.15,44.97,31.37
"Selling/General/Admin. Expenses, Total",39.32,29.64,40.88,22.06,22.78
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.65,0,-10.49,-0.02,-0.66
"Other Operating Expenses, Total",24.33,11.29,17.08,17.67,7.46
Total Operating Expense,95.63,69.27,85.21,56.26,30.87
Operating Income,-9.18,-0.40,8.94,-11.29,0.51
"Interest Inc.(Exp.),Net-Non-Op., Total",-1.00,-1.17,-1.96,-1.59,-1.93
"Other, Net",-2.81,2.87,-1.46,0,0
Net Income Before Taxes,-12.99,1.30,5.52,-12.88,-1.42
Provision for Income Taxes,-0.57,0.04,0.08,0.07,-0.82
Net Income After Taxes,-12.42,1.26,5.44,-12.95,-0.60
Net Income Before Extra. Items,-12.64,1.06,5.49,-12.95,-0.60
Net Income,-12.64,1.06,5.49,-12.95,-0.60
Income Available to Com Excl ExtraOrd,-12.64,1.06,5.49,-12.95,-0.60
Income Available to Com Incl ExtraOrd,-12.64,1.06,5.49,-12.95,-0.60
Diluted Net Income,-12.64,1.06,5.49,-12.95,-0.60
Diluted Weighted Average Shares,139.47,153.91,139.42,139.53,139.53
Diluted EPS Excluding ExtraOrd Items,-0.09,0.01,0.04,-0.09,-0.00
DPS - Common Stock Primary Issue,0,0,0.00,0,0
Diluted Normalised EPS,-0.09,0.00,-0.02,-0.07,0.00
