Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,PRESS,ARS,ARS,ARS
Net Income/Starting Line,-12.99,1.06,5.52,-13.12,-1.42
Depreciation/Depletion,5.88,3.96,5.33,2.81,6.82
Non-Cash Items,6.85,-3.21,-10.95,6.10,-1.64
Cash Taxes Paid,0.06,0.26,0.29,-0.03,-0.90
Changes in Working Capital,-2.12,-11.46,-4.04,3.03,1.71
Cash from Operating Activities,-2.39,-9.65,-4.14,-1.19,5.47
Capital Expenditures,-2.67,-1.18,-1.14,-0.72,-0.59
"Other Investing Cash Flow Items, Total",-1.48,3.09,-3.56,1.62,11.62
Cash from Investing Activities,-4.14,1.92,-4.70,0.90,11.03
Total Cash Dividends Paid,0.00,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,3.46,6.73,4.38,-3.72,-10.07
Foreign Exchange Effects,-0.02,0,-0.02,-0.04,-0.00
Net Change in Cash,-3.09,-1.00,-4.48,-4.05,6.42
